auditId,sourceLine,company,country,investmentFirm,sector,status,ownerCount,milestoneCount,sourceCount,proposedTargetCount,priority,score,flags,malformedDates,exactDuplicates,nearDuplicates,lowValueMilestones,recategoryCandidates,missingEntryOwners,missingExitOwners,sourceCoverage,sourceUrls,reviewerDecision,reviewerNotes
arbor-renewable-gas__united-states,16304,Arbor Renewable Gas,United States,EnCap Investments,Power & ET,Active,1,1,4,2-5 after research,medium,30,thin_scorecard,,,,,,,,,https://www.arborgas.com/ | https://www.encapinvestments.com/about/energy-transition/portfolio/current/arbor-renewable-gas | https://www.encapinvestments.com/news/arbor-renewable-gas-llc-secures-capital-commitment-encap-investments-lp | https://www.encapinvestments.com/about/energy-transition/portfolio,,
aspen-midstream-ii__united-states,16330,Aspen Midstream II,United States,EnCap Investments,Midstream,Active,1,5,3,current 2-5 target,none,0,,,,,,,,,,https://www.encapinvestments.com/about/midstream/portfolio/current/aspen-midstream | https://www.encapinvestments.com/news/aspen-midstream-secures-equity-commitment-encap-flatrock-midstream-formation-aspen-ii | https://www.aspenmidstream.com/news,,
bildmore-clean-energy__united-states,16360,Bildmore Clean Energy,United States,EnCap Investments,Power & ET,Active,1,5,4,current 2-5 target,none,0,,,,,,,,,,https://bildmore.com/ | https://www.encapinvestments.com/about/energy-transition/portfolio/current/bildmore-clean-energy | https://www.encapinvestments.com/news/renewable-energy-development-backer-encap-energy-transition-enters-tax-credit-finance-space | https://www.kirkland.com/news/press-release/2025/03/kirkland-advises-bildmore-clean-energy-on-53-million-preferred-equity-commitment-with-peregrine-es,,
bleutec-industries__united-states,16391,Bleutec Industries,United States,EnCap Investments,Power & ET,Active,1,4,4,current 2-5 target,none,0,,,,,,,,,,https://www.encapinvestments.com/news/bleutec-industries-announces-equity-commitment-encap-investments | https://www.pphb.com/bleutec | https://netsco.us/2023/03/netsco-is-proud-to-support-bleutec-industries-in-offshore-wind-projects/ | https://www.offshore-mag.com/renewable-energy/article/14280250/exec-qa-bleutec-ceo-addresses-offshore-wind-turbine-installation-challenges,,
cardinal-midstream-partners__united-states,16421,Cardinal Midstream Partners,United States,EnCap Investments,Midstream,Active,1,3,3,current 2-5 target,none,0,,,,,,,,,,https://www.encapinvestments.com/about/midstream/portfolio/current/cardinal-midstream-partners | https://www.encapinvestments.com/news/industry-veterans-form-cardinal-midstream-partners-secure-initial-300-million-capital | https://www.encapinvestments.com/news/cardinal-midstream-closes-acquisition-medallions-natural-gas-business-prolific-delaware-basin,,
clearfork-midstream__united-states,16449,Clearfork Midstream,United States,EnCap Investments,Midstream,Active,1,5,3,current 2-5 target,none,0,,,,,,,,,,https://www.encapinvestments.com/about/midstream/portfolio/current/clearfork-midstream | https://www.encapinvestments.com/news/clearfork-midstream-acquire-azure-midstream-energy-secures-initial-capital-commitment-encap | https://clearforkmidstream.com/news/clearfork-midstream-acquires-azure-midstream-energy,,
edgewater-midstream__united-states,16479,Edgewater Midstream,United States,EnCap Investments,Midstream,Active,1,3,4,current 2-5 target,none,0,,,,,,,,,,https://www.efmidstream.com/news/edgewater-midstream-announces-commitment-encap-flatrock | https://www.efmidstream.com/portfolio-companies | https://www.edgewatermidstream.com/news-resources/edgewater-midstream-closes-acquisition-refined-products-logistics-assets-shell | https://www.shell.us/about-us/news-and-insights/media/2024-media-releases/shell-completes-sale-sinco-pipeline-system-colex-terminal-to-edgewater-midstream.html,,
frontier-energy__united-states,16507,Frontier Energy,United States,EnCap Investments,Midstream,Active,1,3,3,current 2-5 target,none,0,,,,,,,,,,https://www.efmidstream.com/portfolio-companies/current/frontier-energy | https://www.efmidstream.com/portfolio-companies | https://frontierenergyllc.com/,,
greenfield-midstream__united-states,16535,Greenfield Midstream,United States,EnCap Investments,Midstream,Active,1,4,4,current 2-5 target,none,0,,,,,,,,,,https://www.greenfieldmidstream.com/ | https://www.greenfieldmidstream.com/assets | https://www.blackdiamondgathering.com/news/noble-midstream-partners-and-greenfield-midstream-close-dj-basin-acquisition | https://www.efmidstream.com/portfolio-companies/current/greenfield-midstream,,
linea-energy__united-states,16565,Linea Energy,United States,EnCap Investments,Power & ET,Active,1,5,4,current 2-5 target,none,0,,,,,,,,,,https://www.encapinvestments.com/about/energy-transition/portfolio/current/linea-energy | https://www.encapinvestments.com/news/encap-investments-makes-capital-commitment-linea-energy-accelerate-deployment-wind-solar-and | https://www.lineaenergy.com/ | https://www.orrick.com/en/News/2026/03/Linea-Energy-Secures-Debt-and-Preferred-Equity-for-Texas-Battery-Project,,
