deal_id,legacy_id,date,target,deal_status,closing_date,categories,region,country,classification,confidence,recommended_treatment,direct_company_ids,direct_company_names,target_company_ids,target_company_names,platform_company_ids,platform_company_names,source_candidate_company_ids,source_candidate_company_names,all_supported_company_ids,all_supported_company_names,supporting_source_urls,ambiguity_reasons,classification_reason,snapshot_sha256
cmrv5v96j0023h8hebdm8cy3x,INF-2026-206,2026-05-11T13:00:00.000Z,BMO Transportation and Vendor Finance,ANNOUNCED,,ACQUISITION_BUYOUT,NORTH_AMERICA,United States / Canada,DIRECT_DEAL_COMPANY_CITATION,HIGH,VERIFY_LINKED_COMPANY_CARD,j26_company_8ba7887457845249d04729dd,BMO Transportation and Vendor Finance,j26_company_8ba7887457845249d04729dd,BMO Transportation and Vendor Finance,,,j26_company_8ba7887457845249d04729dd,BMO Transportation and Vendor Finance,j26_company_8ba7887457845249d04729dd,BMO Transportation and Vendor Finance,https://stonepeak.com/news/stonepeak-to-acquire-bmo-transportation-and-vendor-finance,,At least one published company is explicitly linked to the deal by a Citation row carrying both IDs.,d3dfb3a7acaaa7c95ce030131fcd18940c9efa2bb3b0ee06e9bd15627401b256
cmrv5v7fm001ch8hec59twflv,INF-2026-207,2026-05-11T14:00:00.000Z,Siruai Wind and Storage Project,ANNOUNCED,,PLATFORM_LAUNCH,MIDDLE_EAST_AFRICA,Kenya,NO_PROVEN_EXISTING_COMPANY_RELATIONSHIP,NONE,NO_EXISTING_COMPANY_ACTION,,,,,,,,,,,,,"No direct citation, deterministic target match, explicit platform signal, or shared company source was found.",0a02d4aea139a5b6e989fba611a4d72fff4fa29c8af6fbd0a17f84b7c27afa41
cmrv5v9jw0029h8hecq15du7g,INF-2026-209,2026-05-11T16:00:00.000Z,R.E.L.A.M.,ANNOUNCED,,ACQUISITION_BUYOUT,NORTH_AMERICA,United States / Canada,DIRECT_DEAL_COMPANY_CITATION,HIGH,VERIFY_LINKED_COMPANY_CARD,j26_company_1687d4667f7fd0fe148ec99b,R.E.L.A.M.,j26_company_1687d4667f7fd0fe148ec99b,R.E.L.A.M.,,,j26_company_1687d4667f7fd0fe148ec99b,R.E.L.A.M.,j26_company_1687d4667f7fd0fe148ec99b,R.E.L.A.M.,https://pacelineequity.com/paceline-equity-partners-agrees-to-sell-r-e-l-a-m/,,At least one published company is explicitly linked to the deal by a Citation row carrying both IDs.,5febcc9bc5b032362afdbaa7afc1ec3c03457380cd3962fa8612b7aae1773d9a
cmrv5v9wb002fh8hei5y6888v,INF-2026-210,2026-05-12T13:00:00.000Z,Corporate Air,CLOSED,,ACQUISITION_BOLT_ON,NORTH_AMERICA,United States,DIRECT_DEAL_COMPANY_CITATION,HIGH,VERIFY_LINKED_COMPANY_CARD,cmnva13q0016nm8lzhdq43gms,Infinity Aviation Group,,,cmnva13q0016nm8lzhdq43gms,Infinity Aviation Group,cmnva13q0016nm8lzhdq43gms,Infinity Aviation Group,cmnva13q0016nm8lzhdq43gms,Infinity Aviation Group,https://www.globenewswire.com/news-release/2026/05/12/3293191/0/en/Infinity-Aviation-Group-Expands-Private-Jet-FBO-Network-Acquires-Corporate-Air-in-Vero-Beach-FL.html,,At least one published company is explicitly linked to the deal by a Citation row carrying both IDs.,1c585389d0c9b2e9f7dbef985015fbe29d9ea1a7dce54188a714a95788da7628
cmrv5v8fr001sh8hef5uhz2lp,INF-2026-211,2026-05-12T14:00:00.000Z,Kao Data Park Royal Site,CLOSED,,ACQUISITION_BOLT_ON,EUROPE,United Kingdom,NO_PROVEN_EXISTING_COMPANY_RELATIONSHIP,NONE,NO_EXISTING_COMPANY_ACTION,,,,,,,,,,,,,"No direct citation, deterministic target match, explicit platform signal, or shared company source was found.",db495ed471a7fccf81b036c66a95af6cae4be24c30f8baf9b3ce0e5769defc31
cmrv5vavx002wh8he271qj3vy,INF-2026-212,2026-05-12T15:00:00.000Z,Terrafame Sotkamo Electrical Grid Assets,ANNOUNCED,,ACQUISITION_BOLT_ON,EUROPE,Finland,NO_PROVEN_EXISTING_COMPANY_RELATIONSHIP,NONE,NO_EXISTING_COMPANY_ACTION,,,,,,,,,,,,,"No direct citation, deterministic target match, explicit platform signal, or shared company source was found.",f253bfd9a22c53e4a250f839610ab3795eb948473ad7186f52c62f69607e7828
cmrv5vc8a003ih8hegle8lrxs,INF-2026-213,2026-05-12T16:00:00.000Z,Noble Environmental,CLOSED,,ACQUISITION_MAJORITY_STAKE,NORTH_AMERICA,United States,DIRECT_DEAL_COMPANY_CITATION,HIGH,VERIFY_LINKED_COMPANY_CARD,j26_company_9beb303ff97bc2086d4fa105,"Noble Environmental, Inc.",j26_company_9beb303ff97bc2086d4fa105,"Noble Environmental, Inc.",,,j26_company_9beb303ff97bc2086d4fa105,"Noble Environmental, Inc.",j26_company_9beb303ff97bc2086d4fa105,"Noble Environmental, Inc.",https://ir.apollo.com/news-events/press-releases/detail/625/apollo-funds-acquire-majority-stake-in-noble-environmental,,At least one published company is explicitly linked to the deal by a Citation row carrying both IDs.,feddc80948d111a44bccd89cb69e065e8a78438bba004d2569553f9f1787c782
cmrv5v7mk001gh8he9fhhfubt,INF-2026-214,2026-05-12T17:00:00.000Z,Hornsea 3 Offshore Wind Farm,ANNOUNCED,,ACQUISITION_MINORITY_STAKE,EUROPE,United Kingdom,NO_PROVEN_EXISTING_COMPANY_RELATIONSHIP,NONE,NO_EXISTING_COMPANY_ACTION,,,,,,,,,,,,,"No direct citation, deterministic target match, explicit platform signal, or shared company source was found.",15fa3b15c8a518f157cef27a4afd606c1875199298730539e884d4f7a8b57258
cmrv5v818001mh8hez775r8av,INF-2026-215,2026-05-12T18:00:00.000Z,187 MW Taiwan Solar Portfolio,ANNOUNCED,,SALE_BUYOUT,ASIA_PACIFIC,Taiwan,NO_PROVEN_EXISTING_COMPANY_RELATIONSHIP,NONE,NO_EXISTING_COMPANY_ACTION,,,,,,,,,,,,,"No direct citation, deterministic target match, explicit platform signal, or shared company source was found.",f0a978bc796539ed315c22963e7ad0cb1afbe4a68800b9143d073c8cee673bfb
cmrv5va7w002kh8helo48rpbf,INF-2026-217,2026-05-13T14:00:00.000Z,Dysons,ANNOUNCED,,ACQUISITION_BOLT_ON,ASIA_PACIFIC,Australia,NO_PROVEN_EXISTING_COMPANY_RELATIONSHIP,NONE,NO_EXISTING_COMPANY_ACTION,,,,,,,,,,,,,"No direct citation, deterministic target match, explicit platform signal, or shared company source was found.",26797e9cccb48495a0f976fa108cca1bbe2db83d22bf30bc563cd1839844b48e
